x,N2249,x,N2249,x,N2249,x,N2249,x,N2249,x,N2249
0.435796,0.0303823,0.473949,0.0330143,0.449943,0.0314207,0.526303,0.242313,0.525978,0.242605,0.538355,0.245254
0.440797,0.0307278,0.478953,0.0333579,0.454943,0.0317661,0.531857,0.243681,0.531647,0.244012,0.54443,0.246767
0.445797,0.0310731,0.483956,0.033701,0.459943,0.0321108,0.537362,0.245039,0.537257,0.245404,0.55041,0.248254
0.450797,0.0314181,0.488958,0.0340434,0.464943,0.0324562,0.542823,0.24639,0.542815,0.246783,0.556306,0.249717
0.455797,0.0317625,0.493959,0.0343856,0.469944,0.0327999,0.548244,0.247732,0.548323,0.248151,0.562123,0.251159
0.460797,0.0321067,0.49896,0.0347272,0.474944,0.0331437,0.553628,0.249069,0.553788,0.249509,0.567869,0.252582
0.465797,0.0324504,0.50396,0.0350679,0.479944,0.0334868,0.558979,0.2504,0.559211,0.250859,0.57355,0.253989
0.470797,0.0327939,0.508961,0.0354097,0.484944,0.0338298,0.564299,0.251726,0.564598,0.252201,0.579147,0.255372
0.475797,0.033137,0.513961,0.0357496,0.489944,0.0341724,0.569591,0.253049,0.569967,0.253543,0.584693,0.256744
0.480797,0.0334796,0.518961,0.0360895,0.494944,0.0345143,0.574858,0.254369,0.575304,0.254879,0.59019,0.258106
0.485797,0.033822,0.523961,0.0364297,0.499944,0.0348564,0.580092,0.255683,0.580589,0.256202,0.595627,0.259453
0.490797,0.0341641,0.528962,0.0367684,0.504944,0.0351976,0.585306,0.256994,0.585838,0.257518,0.601025,0.260794
0.495797,0.0345056,0.533962,0.0371074,0.509944,0.0355391,0.590501,0.258305,0.591066,0.258831,0.606375,0.262123
0.500797,0.0348471,0.538962,0.0374459,0.514944,0.0358795,0.595679,0.259614,0.596274,0.260142,0.61167,0.26344
0.505797,0.0351883,0.543962,0.0377845,0.519944,0.0362201,0.600841,0.260923,0.60145,0.261446,0.61693,0.264751
0.510797,0.035529,0.548962,0.0381226,0.524944,0.0365599,0.605989,0.262231,0.606604,0.262747,0.622166,0.26606
0.515797,0.0358692,0.553962,0.0384595,0.529944,0.0368996,0.611125,0.263538,0.611745,0.264048,0.627382,0.267369
0.520797,0.0362092,0.558962,0.0387959,0.534944,0.0372392,0.616249,0.264845,0.616874,0.265348,0.632571,0.268674
0.525797,0.0365489,0.563962,0.0391331,0.539944,0.0375778,0.621361,0.266153,0.621991,0.266649,0.637726,0.269973
0.530797,0.0368882,0.568962,0.0394693,0.544944,0.0379168,0.626464,0.26746,0.627098,0.26795,0.642867,0.271272
0.535797,0.0372271,0.573962,0.0398055,0.549944,0.0382554,0.631558,0.268767,0.632196,0.269251,0.647996,0.272573
0.540797,0.0375657,0.578962,0.0401409,0.554944,0.0385937,0.636644,0.270074,0.637285,0.270553,0.653114,0.273875
0.545797,0.0379039,0.583962,0.0404759,0.559944,0.038931,0.641723,0.271382,0.642367,0.271855,0.658221,0.275178
0.550797,0.0382418,0.588962,0.040811,0.564944,0.0392664,0.646794,0.27269,0.647438,0.273156,0.663319,0.276483
0.555797,0.0385793,0.593962,0.0411456,0.569944,0.0396039,0.65186,0.273998,0.652503,0.274458,0.668408,0.277789
0.560797,0.0389164,0.598962,0.0414792,0.574944,0.0399365,0.656919,0.275307,0.657563,0.275761,0.673484,0.279095
0.565797,0.0392534,0.603962,0.0418131,0.579944,0.0402726,0.661971,0.276614,0.662617,0.277064,0.678553,0.280402
0.570797,0.0395899,0.608962,0.0421461,0.584944,0.0406089,0.667009,0.27792,0.667661,0.278366,0.683609,0.281708
0.575797,0.0399259,0.613962,0.0424792,0.589944,0.0409407,0.672043,0.279225,0.672702,0.279669,0.688654,0.283014
0.580797,0.0402617,0.618962,0.0428124,0.594944,0.0412753,0.677073,0.280531,0.677738,0.280971,0.693678,0.284315
0.585797,0.0405971,0.623962,0.0431446,0.599944,0.0416106,0.682101,0.281838,0.68277,0.282275,0.698699,0.285618
0.590797,0.0409323,0.628962,0.0434766,0.604944,0.0419454,0.687125,0.283145,0.687798,0.283578,0.703717,0.286923
0.595797,0.0412671,0.633962,0.0438081,0.609944,0.04228,0.692147,0.284453,0.692824,0.284883,0.708734,0.288231
0.600797,0.0416014,0.638962,0.0441394,0.614944,0.0426137,0.697168,0.285761,0.697848,0.286188,0.713749,0.28954
0.605797,0.0419355,0.643962,0.0444702,0.619944,0.0429467,0.702186,0.287071,0.702869,0.287493,0.718762,0.290851
0.610797,0.0422691,0.648962,0.0448007,0.624944,0.0432801,0.707202,0.288381,0.707888,0.288799,0.723774,0.292164
0.615797,0.0426025,0.653962,0.0451306,0.629944,0.0436112,0.712217,0.289691,0.712905,0.290106,0.728785,0.293479
0.620797,0.0429353,0.658962,0.04546,0.634944,0.0439408,0.717231,0.291002,0.717921,0.291413,0.733793,0.294795
0.625797,0.0432679,0.663962,0.0457889,0.639944,0.0442723,0.722243,0.292314,0.722935,0.29272,0.738801,0.296113
0.630797,0.0436002,0.668962,0.0461179,0.644944,0.0446031,0.727254,0.293626,0.727948,0.294028,0.743808,0.297432
0.635797,0.043931,0.673962,0.0464465,0.649944,0.0449348,0.732263,0.294939,0.732959,0.295336,0.748814,0.298752
0.640797,0.0442625,0.678962,0.0467742,0.654944,0.0452657,0.737272,0.296252,0.737969,0.296645,0.75382,0.300073
0.645797,0.0445935,0.683962,0.047102,0.659944,0.0455956,0.742279,0.297565,0.742979,0.297954,0.758825,0.301396
0.650797,0.044924,0.688962,0.0474298,0.664944,0.0459258,0.747285,0.298879,0.747987,0.299263,0.763829,0.30272
0.655797,0.0452544,0.693962,0.047757,0.669944,0.0462556,0.752291,0.300193,0.752994,0.300573,0.768832,0.304045
0.660797,0.0455846,0.698962,0.0480837,0.674944,0.046585,0.757296,0.301507,0.758001,0.301883,0.773835,0.30537
0.665797,0.0459145,0.703962,0.0484098,0.679944,0.0469141,0.762301,0.302822,0.763006,0.303193,0.778838,0.306697
0.670797,0.0462435,0.708962,0.0487361,0.684944,0.0472424,0.767305,0.304138,0.768011,0.304504,0.783841,0.308025
0.675797,0.0465725,0.713128,0.0490378,0.689944,0.0475709,0.772308,0.305454,0.773016,0.305815,0.788843,0.309354
0.680797,0.0469014,0.718128,0.0493458,0.694944,0.0478986,0.777312,0.30677,0.77802,0.307126,0.793845,0.310683
0.685797,0.0472295,0.723128,0.0496667,0.699944,0.0482261,0.782315,0.308087,0.783023,0.308437,0.798846,0.312014
0.690797,0.0475577,0.728128,0.0499887,0.704944,0.0485531,0.787317,0.309403,0.788026,0.309749,0.803848,0.313345
0.695797,0.0478842,0.733128,0.0503108,0.709944,0.0488803,0.79232,0.310721,0.793029,0.311061,0.808849,0.314677
0.700797,0.0482124,0.738128,0.0506343,0.714944,0.0492038,0.797322,0.312038,0.798032,0.312373,0.81385,0.316009
0.705797,0.0485381,0.743128,0.0509559,0.719944,0.0495111,0.802324,0.313356,0.803034,0.313685,0.818851,0.317343
0.710797,0.0488644,0.748128,0.0512782,0.72411,0.0498181,0.807325,0.314674,0.808036,0.314998,0.823852,0.318677
0.715797,0.049188,0.753128,0.0516004,0.72911,0.0501286,0.812327,0.315993,0.813038,0.316311,0.828853,0.320012
0.71663,0.0493928,0.758128,0.0519214,0.73411,0.0504479,0.817328,0.317312,0.81804,0.317624,0.833853,0.321347
0.72163,0.0496652,0.763128,0.0522449,0.73911,0.0507686,0.822329,0.318631,0.823041,0.318937,0.838854,0.322684
0.72663,0.0499654,0.768128,0.0525652,0.74411,0.0510914,0.82733,0.319951,0.828042,0.320251,0.843855,0.32402
0.73163,0.0502708,0.773128,0.0528859,0.74911,0.051414,0.832331,0.321271,0.833043,0.321565,0.848855,0.325358
0.73663,0.0505769,0.778128,0.0532073,0.75411,0.0517368,0.837332,0.322591,0.838044,0.322879,0.853856,0.326696
