x,N145,N1207,N2125,x,N145,N1207,N2125,x,N145,N1207,N2125
0.512921,-0.0419244,-0.0653959,-0.0739044,0.505675,-0.0408664,-0.0647207,-0.0728793,0.504608,-0.0593563,-0.0660594,-0.0744642
0.517921,-0.0423765,-0.0659931,-0.0746014,0.510675,-0.0413127,-0.0653212,-0.0735777,0.509608,-0.0600461,-0.0667597,-0.075188
0.522922,-0.0428286,-0.0665893,-0.0752976,0.515675,-0.0417593,-0.0659203,-0.0742747,0.514608,-0.0607366,-0.0674604,-0.0759098
0.527922,-0.0432809,-0.0671842,-0.0759913,0.520675,-0.0422059,-0.0665189,-0.0749696,0.519608,-0.061428,-0.0681617,-0.0766344
0.532922,-0.0437335,-0.0677795,-0.0766866,0.525675,-0.0426524,-0.067116,-0.0756653,0.524608,-0.0621185,-0.0688594,-0.0773493
0.537922,-0.0441861,-0.0683731,-0.0773802,0.530675,-0.0430994,-0.0677131,-0.076362,0.529608,-0.0628105,-0.0695602,-0.0780687
0.542922,-0.0446389,-0.068966,-0.0780738,0.535675,-0.0435465,-0.0683095,-0.0770578,0.534608,-0.0635039,-0.070262,-0.0787882
0.547922,-0.045092,-0.0695583,-0.0787664,0.540675,-0.0439938,-0.0689051,-0.0777528,0.539608,-0.0641974,-0.0709622,-0.0795011
0.552923,-0.0455449,-0.070149,-0.0794567,0.545675,-0.0444412,-0.0694995,-0.0784463,0.544608,-0.064892,-0.0716648,-0.0802199
0.557923,-0.0459982,-0.0707398,-0.0801483,0.550675,-0.044889,-0.0700942,-0.0791428,0.549608,-0.0655875,-0.0723679,-0.0809379
0.562923,-0.0464514,-0.0713291,-0.0808379,0.555675,-0.0453362,-0.0706853,-0.0798307,0.554608,-0.0662836,-0.0730712,-0.0816558
0.567923,-0.0469047,-0.0719171,-0.0815262,0.560675,-0.0457838,-0.0712764,-0.0805183,0.559608,-0.0669798,-0.0737739,-0.0823717
0.572923,-0.0473585,-0.0725058,-0.0822165,0.565675,-0.0462321,-0.0718723,-0.081212,0.564608,-0.0676774,-0.0744785,-0.0830896
0.577923,-0.0478123,-0.0730932,-0.082905,0.570675,-0.0466797,-0.0724611,-0.0818976,0.569608,-0.0683751,-0.0751824,-0.0838072
0.582923,-0.0482658,-0.0736789,-0.0835911,0.575675,-0.0471274,-0.0730496,-0.0825857,0.574608,-0.0690735,-0.075886,-0.0845213
0.587923,-0.0487193,-0.0742634,-0.0842746,0.580675,-0.0475753,-0.073637,-0.0832718,0.579608,-0.0697726,-0.0765897,-0.0852346
0.592923,-0.0491734,-0.0748487,-0.0849611,0.585675,-0.0480233,-0.0742242,-0.0839579,0.584608,-0.0704723,-0.0772943,-0.0859489
0.597923,-0.0496272,-0.0754318,-0.0856451,0.590675,-0.0484714,-0.0748102,-0.0846427,0.589608,-0.0711726,-0.0779995,-0.0866592
0.602923,-0.050081,-0.0760143,-0.0863273,0.595675,-0.0489196,-0.0753949,-0.0853245,0.594608,-0.0718732,-0.0787034,-0.0873691
0.607923,-0.0505352,-0.0765973,-0.0870129,0.600675,-0.0493677,-0.0759787,-0.0860068,0.599608,-0.0725746,-0.0794081,-0.0880815
0.612923,-0.0509894,-0.0771782,-0.0876933,0.605675,-0.0498168,-0.0765639,-0.0866912,0.604608,-0.0732778,-0.0801215,-0.0887976
0.617923,-0.0514437,-0.0777568,-0.0883742,0.610675,-0.0502652,-0.0771469,-0.0873729,0.609608,-0.0739801,-0.0808266,-0.0895113
0.622923,-0.0518979,-0.0783365,-0.0890569,0.615675,-0.0507142,-0.0777303,-0.088059,0.614608,-0.0746828,-0.0815312,-0.0902192
0.627923,-0.0523523,-0.0789151,-0.0897362,0.620675,-0.051161,-0.0783053,-0.0887283,0.619608,-0.0753871,-0.0822461,-0.0909338
0.632923,-0.0528063,-0.079492,-0.0904134,0.625675,-0.0516111,-0.0788887,-0.0894109,0.624608,-0.0760908,-0.082951,-0.091639
0.637923,-0.0532609,-0.0800693,-0.0910917,0.630675,-0.0520596,-0.0794675,-0.0900823,0.629608,-0.0767955,-0.0836567,-0.0923474
