x,healthy,x,earlyOA,x,advOA
0.912923,1.65595,0.900675,1.63334,0.900222,1.61913
0.917923,1.66491,0.905675,1.64229,0.905222,1.62793
0.922923,1.67388,0.910675,1.65125,0.910222,1.63673
0.927923,1.68283,0.915675,1.6602,0.915222,1.64552
0.932923,1.69179,0.920675,1.66915,0.920222,1.65431
0.937923,1.70075,0.925675,1.67809,0.925222,1.6631
0.942923,1.7097,0.930675,1.68704,0.930222,1.67189
0.947923,1.71865,0.935675,1.69598,0.935222,1.68067
0.952923,1.7276,0.940675,1.70492,0.940222,1.68945
0.957923,1.73655,0.945675,1.71386,0.945222,1.69822
0.962923,1.74549,0.950675,1.7228,0.950222,1.70699
0.967923,1.75444,0.955675,1.73174,0.955222,1.71576
0.972923,1.76338,0.960675,1.74067,0.960222,1.72452
0.977923,1.77232,0.965675,1.7496,0.965222,1.73328
0.982923,1.78126,0.970675,1.75853,0.970222,1.74204
0.987923,1.7902,0.975675,1.76746,0.975222,1.75079
0.992089,1.79809,0.980675,1.77638,0.980222,1.75954
0.996256,1.80584,0.985675,1.7853,0.985222,1.76829
1.00126,1.82349,0.990675,1.79422,0.990222,1.77703
1.00626,1.86815,0.995675,1.80315,0.995222,1.78578
1.01153,1.91782,1.00067,1.81689,1.00022,1.7961
1.01736,1.97442,1.00595,1.86366,1.00522,1.84026
1.02368,2.03076,1.01122,1.9134,1.01022,1.88716
1.03043,2.07669,1.01704,1.97005,1.01549,1.93852
1.03757,2.12445,1.02337,2.02744,1.02102,1.9938
1.04471,2.17218,1.03012,2.07349,1.02707,2.03757
1.05166,2.21895,1.03726,2.12136,1.03359,2.08148
1.05897,2.26752,1.0444,2.16917,1.04011,2.12529
1.0666,2.31733,1.05135,2.21601,1.0465,2.16851
1.0747,2.36954,1.05866,2.26464,1.05331,2.21349
1.08319,2.42391,1.06629,2.31452,1.0605,2.26041
1.09197,2.47977,1.07439,2.36676,1.06826,2.31014
1.101,2.53609,1.08288,2.42118,1.07646,2.36225
1.11022,2.58562,1.09166,2.4771,1.08502,2.4166
