x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0.475797,0.000604868,0.513961,0.000660937,0.489944,0.000646861,0.569591,0.0015287,0.569967,0.00152563,0.584693,0.00154912
0.480797,0.00060466,0.518961,0.000659302,0.494944,0.000646803,0.574858,0.00153457,0.575304,0.00152934,0.59019,0.00155274
0.485797,0.000604423,0.523961,0.000655806,0.499944,0.000644745,0.580092,0.00153803,0.580589,0.00153289,0.595627,0.00155625
0.490797,0.000604561,0.528962,0.000657654,0.504944,0.000644375,0.585306,0.00154139,0.585838,0.00153634,0.601025,0.00155964
0.495797,0.000604906,0.533962,0.000654514,0.509944,0.000639585,0.590501,0.00154465,0.591066,0.00153969,0.606375,0.00156293
0.500797,0.000604649,0.538962,0.000656505,0.514944,0.000637748,0.595679,0.00154782,0.596274,0.00154295,0.61167,0.00156612
0.505797,0.000602753,0.543962,0.000653357,0.519944,0.000643259,0.600841,0.00155091,0.60145,0.00154612,0.61693,0.00156922
0.510797,0.000601562,0.548962,0.000640112,0.524944,0.000648117,0.605989,0.00155391,0.606604,0.0015492,0.622166,0.0015722
0.515797,0.000601706,0.553962,0.000638606,0.529944,0.000650279,0.611125,0.00155683,0.611745,0.0015522,0.627382,0.0015751
0.520797,0.000601206,0.558962,0.000640285,0.534944,0.000658435,0.616249,0.00155968,0.616874,0.00155512,0.632571,0.0015779
0.525797,0.000600808,0.563962,0.000636446,0.539944,0.000672304,0.621361,0.00156245,0.621991,0.00155796,0.637726,0.00158062
0.530797,0.000599663,0.568962,0.000634793,0.544944,0.000678523,0.626464,0.00156515,0.627098,0.00156073,0.642867,0.00158325
0.535797,0.000601425,0.573962,0.000631422,0.549944,0.000676882,0.631558,0.00156778,0.632196,0.00156342,0.647996,0.0015858
0.540797,0.000601814,0.578962,0.000634205,0.554944,0.000673104,0.636644,0.00157035,0.637285,0.00156604,0.653114,0.00158827
0.545797,0.000602152,0.583962,0.00063502,0.559944,0.000673222,0.641723,0.00157285,0.642367,0.0015686,0.658221,0.00159067
0.550797,0.000599867,0.588962,0.000631512,0.564944,0.000688096,0.646794,0.0015753,0.647438,0.0015711,0.663319,0.00159299
