x,F893,x,F893,x,F893,x,F893,x,F893
0.792923,0.827011,0.780675,0.826462,0.780218,0.85011,1.1926,0.511146,1.19076,0.509551
0.797923,0.827019,0.785675,0.826469,0.785219,0.850129,1.19856,0.514097,1.19669,0.512348
0.802923,0.827026,0.790675,0.826477,0.79022,0.850147,1.20453,0.517368,1.20261,0.51545
0.807923,0.827035,0.795675,0.826486,0.795221,0.850167,1.21049,0.52099,1.20853,0.518888
0.812923,0.827045,0.800675,0.826497,0.800221,0.850186,1.21646,0.524998,1.21446,0.522693
0.817923,0.827056,0.805675,0.826508,0.805222,0.850206,1.22264,0.529468,1.2206,0.526937
0.822923,0.827068,0.810675,0.82652,0.810222,0.850228,1.22903,0.534496,1.22695,0.531711
0.827923,0.827078,0.815675,0.826533,0.815222,0.850246,1.23561,0.540202,1.2335,0.537126
0.832923,0.827089,0.820675,0.826547,0.820222,0.850266,1.24238,0.546734,1.24024,0.543323
0.837923,0.827101,0.825675,0.826562,0.825222,0.850286,1.24933,0.551393,1.24715,0.548878
0.842923,0.827112,0.830675,0.826576,0.830222,0.850308,1.25644,0.556528,1.25423,0.553732
0.847923,0.827125,0.835675,0.826589,0.835222,0.85033,1.2637,0.562339,1.26147,0.559218
0.852923,0.827138,0.840675,0.826603,0.840222,0.850355,1.27112,0.569091,1.26886,0.565445
0.857923,0.827152,0.845675,0.826618,0.845222,0.850379,1.27867,0.577773,1.27639,0.573341
0.862923,0.827168,0.850675,0.826634,0.850222,0.850405,1.28636,0.588869,1.28405,0.583438
0.867923,0.827184,0.855675,0.82665,0.855222,0.850426,1.29417,0.60159,1.29184,0.596275
0.872923,0.827201,0.860675,0.826668,0.860222,0.850449,1.3021,0.613188,1.29975,0.608547
0.877923,0.827219,0.865675,0.826686,0.865222,0.850473,1.31014,0.605891,1.30777,0.602176
0.882923,0.827237,0.870675,0.826705,0.870222,0.850497,1.31792,0.607896,1.3159,0.607807
0.887923,0.827257,0.875675,0.826725,0.875222,0.850516,1.32569,0.607207,1.32403,0.607098
0.892923,0.827277,0.880675,0.826746,0.880222,0.849981,1.33359,0.60655,1.33226,0.606414
0.897923,0.827299,0.885675,0.826767,0.885222,0.849917,1.3416,0.69117,1.34058,0.700772
0.902923,0.827321,0.890675,0.826789,0.890222,0.849941,1.34972,0.69182,1.34891,0.691511
0.907923,0.827344,0.895675,0.826813,0.895222,0.849963,1.35784,0.682481,1.35723,0.682073
0.912923,0.827367,0.900675,0.826837,0.900222,0.849984,1.36595,0.672969,1.36556,0.672449
0.917923,0.827391,0.905675,0.826861,0.905222,0.850008,1.37407,0.663486,1.37388,0.662843
0.922923,0.827415,0.910675,0.826896,0.910222,0.850032,1.38219,0.625282,1.38221,0.624463
0.927923,0.827439,0.915675,0.826919,0.915222,0.849464,1.39053,0.622661,1.39073,0.621815
0.932923,0.827464,0.920675,0.826943,0.920222,0.849492,1.39887,0.623257,1.39926,0.622148
0.937923,0.827489,0.925675,0.826967,0.925222,0.849519,1.40721,0.62743,1.40778,0.626089
0.942923,0.827512,0.930675,0.826992,0.930222,0.849547,1.41575,0.63559,1.41648,0.634018
0.947923,0.827537,0.935675,0.827018,0.935222,0.849576,1.42412,0.642951,1.42524,0.642357
0.952923,0.827563,0.940675,0.827044,0.940222,0.849605,1.43258,0.647545,1.43408,0.647001
0.957923,0.827589,0.945675,0.827071,0.945222,0.849635,1.44112,0.650474,1.44298,0.650114
0.962923,0.827616,0.950675,0.827096,0.950222,0.849664,1.44967,0.652869,1.45187,0.652785
0.967923,0.827643,0.955675,0.827121,0.955222,0.849695,1.45804,0.632608,1.46059,0.632708
0.972923,0.82767,0.960675,0.827149,0.960222,0.849725,1.46627,0.619854,1.46913,0.620041
0.977923,0.827699,0.965675,0.827178,0.965222,0.849757,1.4747,0.613037,1.47785,0.613359
0.982923,0.827728,0.970675,0.827206,0.970222,0.84979,1.48331,0.612901,1.48672,0.613065
0.987923,0.827757,0.975675,0.827235,0.975222,0.849822,1.49209,0.613914,1.49572,0.614511
0.992089,0.827746,0.980675,0.827264,0.980222,0.849855,1.50102,0.617288,1.50483,0.617673
0.996256,0.827751,0.985675,0.827294,0.985222,0.849888,1.51007,0.610047,1.51406,0.608664
1.00126,0.830698,0.990675,0.827325,0.990222,0.849922,1.51923,0.597547,1.52337,0.596103
1.00626,0.83167,0.995675,0.827356,0.995222,0.849956,1.52849,0.58627,1.53277,0.584782
1.01153,0.832127,1.00067,0.830166,1.00022,0.849977,1.53784,0.57602,1.54223,0.555762
1.01736,0.832458,1.00595,0.831385,1.00522,0.852701,1.54726,0.548624,1.55176,0.547237
1.02368,0.831472,1.01122,0.831699,1.01022,0.853007,1.55676,0.540832,1.56135,0.539427
1.03043,0.831347,1.01704,0.831996,1.01549,0.853067,1.56631,0.533648,1.57098,0.551721
1.03757,0.830671,1.02337,0.831045,1.02102,0.851758,1.57592,0.527921,1.58066,0.527085
1.04471,0.828367,1.03012,0.830946,1.02707,0.851728,1.58554,0.362356,1.59038,0.362101
1.05166,0.825301,1.03726,0.83043,1.03359,0.851339,1.59517,0.362254,1.60009,0.361904
