x,N2571,x,N2571,x,N2571,x,N2643,x,N2643,x,N2643
0.610797,1.10251,0.648962,1.17057,0.624944,1.12535,0.707202,2.83191,0.707888,2.83682,0.723774,2.85761
0.615797,1.11139,0.653962,1.17939,0.629944,1.13433,0.712217,2.84237,0.712905,2.84724,0.728785,2.86812
0.620797,1.12027,0.658962,1.18821,0.634944,1.14325,0.717231,2.85286,0.717921,2.85768,0.733793,2.87868
0.625797,1.12915,0.663962,1.19704,0.639944,1.15217,0.722243,2.86337,0.722935,2.86814,0.738801,2.88928
0.630797,1.13805,0.668962,1.20587,0.644944,1.16107,0.727254,2.8739,0.727948,2.87863,0.743808,2.89991
0.635797,1.14692,0.673962,1.2147,0.649944,1.16999,0.732263,2.88445,0.732959,2.88913,0.748814,2.91057
0.640797,1.15582,0.678962,1.22354,0.654944,1.17891,0.737272,2.89502,0.737969,2.89966,0.75382,2.92126
0.645797,1.16471,0.683962,1.23237,0.659944,1.18783,0.742279,2.90562,0.742979,2.9102,0.758825,2.93199
0.650797,1.17361,0.688962,1.24123,0.664944,1.19675,0.747285,2.91623,0.747987,2.92077,0.763829,2.94275
0.655797,1.18251,0.693962,1.25007,0.669944,1.20568,0.752291,2.92687,0.752994,2.93135,0.768832,2.95353
0.660797,1.19141,0.698962,1.25893,0.674944,1.21462,0.757296,2.93752,0.758001,2.94196,0.773835,2.96435
0.665797,1.2003,0.703962,1.26779,0.679944,1.22355,0.762301,2.9482,0.763006,2.95258,0.778838,2.97519
0.670797,1.20921,0.708962,1.27665,0.684944,1.23249,0.767305,2.9589,0.768011,2.96322,0.783841,2.98606
0.675797,1.21812,0.713128,1.28469,0.689944,1.24144,0.772308,2.96961,0.773016,2.97388,0.788843,2.99696
0.680797,1.22703,0.718128,1.29324,0.694944,1.25039,0.777312,2.98035,0.77802,2.98455,0.793845,3.00788
0.685797,1.23594,0.723128,1.30202,0.699944,1.25935,0.782315,2.99109,0.783023,2.99525,0.798846,3.01883
0.690797,1.24486,0.728128,1.31082,0.704944,1.26831,0.787317,3.00187,0.788026,3.00596,0.803848,3.02981
0.695797,1.25379,0.733128,1.31967,0.709944,1.27728,0.79232,3.01267,0.793029,3.01669,0.808849,3.04081
0.700797,1.26271,0.738128,1.32853,0.714944,1.28622,0.797322,3.02348,0.798032,3.02743,0.81385,3.05183
0.705797,1.27167,0.743128,1.33739,0.719944,1.29524,0.802324,3.03431,0.803034,3.0382,0.818851,3.06288
0.710797,1.28061,0.748128,1.34627,0.72411,1.30339,0.807325,3.04515,0.808036,3.04898,0.823852,3.07395
0.715797,1.28968,0.753128,1.35517,0.72911,1.31204,0.812327,3.05602,0.813038,3.05978,0.828853,3.08505
0.71663,1.29588,0.758128,1.36407,0.73411,1.32095,0.817328,3.0669,0.81804,3.0706,0.833853,3.09617
0.72163,1.3018,0.763128,1.37297,0.73911,1.32988,0.822329,3.07781,0.823041,3.08143,0.838854,3.10732
0.72663,1.31009,0.768128,1.3819,0.74411,1.33885,0.82733,3.08873,0.828042,3.09228,0.843855,3.11848
0.73163,1.31863,0.773128,1.39083,0.74911,1.34782,0.832331,3.09967,0.833043,3.10315,0.848855,3.12968
0.73663,1.32726,0.778128,1.39977,0.75411,1.3568,0.837332,3.11063,0.838044,3.11403,0.853856,3.14089
0.74163,1.33605,0.783128,1.40872,0.75911,1.36595,0.842333,3.12161,0.843045,3.12493,0.858856,3.15213
0.74663,1.34488,0.788128,1.41767,0.76411,1.37495,0.847333,3.1326,0.848046,3.13585,0.863856,3.16339
0.75163,1.35375,0.793128,1.42664,0.76911,1.38396,0.852334,3.14362,0.853046,3.14678,0.868857,3.17468
0.75663,1.36265,0.798128,1.4356,0.77411,1.39298,0.857334,3.15465,0.858047,3.15773,0.873857,3.18598
0.76163,1.37157,0.803128,1.44457,0.77911,1.402,0.862335,3.1657,0.863047,3.1687,0.878857,3.19732
0.76663,1.38051,0.808128,1.45354,0.78411,1.41103,0.867335,3.17677,0.868047,3.17969,0.883857,3.20867
0.77163,1.38947,0.813128,1.46252,0.78911,1.42006,0.872336,3.18786,0.873048,3.19069,0.888857,3.22005
0.77663,1.39845,0.818128,1.47149,0.79411,1.42912,0.877336,3.19896,0.878048,3.2017,0.893857,3.23145
0.78163,1.40742,0.823128,1.48049,0.79911,1.43819,0.882336,3.21009,0.883048,3.21274,0.898858,3.24288
0.78663,1.4164,0.828128,1.48948,0.80411,1.44724,0.887336,3.22123,0.888048,3.2238,0.903858,3.25433
0.79163,1.4254,0.833128,1.49848,0.80911,1.4563,0.892337,3.2324,0.893049,3.23487,0.908858,3.2658
0.79663,1.43441,0.838128,1.50749,0.81411,1.46535,0.897337,3.24357,0.898049,3.24596,0.913858,3.27729
0.80163,1.44342,0.843128,1.51649,0.81911,1.47442,0.902337,3.25477,0.903049,3.25706,0.918858,3.28881
0.80663,1.45246,0.848128,1.52551,0.82411,1.48349,0.907337,3.26599,0.908049,3.26818,0.923858,3.30036
0.81163,1.46149,0.853128,1.53452,0.82911,1.49256,0.912337,3.27723,0.913049,3.27932,0.928858,3.31192
0.81663,1.47054,0.858128,1.54355,0.83411,1.50164,0.917337,3.28849,0.918049,3.29048,0.933858,3.32351
0.82163,1.47958,0.863128,1.55258,0.83911,1.51072,0.922337,3.29976,0.923049,3.30166,0.938858,3.33512
0.82663,1.48861,0.868128,1.5616,0.84411,1.5198,0.927338,3.31106,0.928049,3.31285,0.943858,3.34676
0.83163,1.49765,0.873128,1.57065,0.84911,1.52889,0.932338,3.32237,0.933049,3.32405,0.948858,3.35842
0.83663,1.50668,0.878128,1.57969,0.85411,1.53797,0.937338,3.3337,0.938049,3.33528,0.953858,3.3701
0.84163,1.51572,0.883128,1.58874,0.85911,1.54705,0.942338,3.34505,0.943049,3.34653,0.958858,3.38181
0.84663,1.52477,0.888128,1.59779,0.86411,1.55615,0.947338,3.35642,0.948049,3.35779,0.963858,3.39354
0.85163,1.53381,0.893128,1.60685,0.86911,1.56523,0.952338,3.36781,0.953049,3.36907,0.968858,3.4053
0.85663,1.54286,0.898128,1.6159,0.87411,1.57432,0.957338,3.37922,0.958049,3.38037,0.973858,3.41708
0.86163,1.55192,0.903128,1.62494,0.87911,1.58341,0.962338,3.39065,0.963049,3.39168,0.978858,3.42888
0.86663,1.56097,0.908128,1.63401,0.88411,1.5925,0.967338,3.4021,0.968049,3.40302,0.983858,3.44071
0.87163,1.57002,0.913128,1.64307,0.88911,1.60159,0.972338,3.41356,0.973049,3.41437,0.988858,3.45257
0.87663,1.57908,0.913962,1.64954,0.89411,1.61069,0.977338,3.42505,0.978049,3.42574,0.993858,3.46445
0.88163,1.58814,0.918962,1.65568,0.89911,1.61978,0.982338,3.43656,0.983049,3.43714,0.998858,3.47635
0.88663,1.5972,0.923962,1.66411,0.90411,1.62886,0.987338,3.44808,0.988049,3.44854,1.00386,3.58221
0.89163,1.60626,0.924795,1.6699,0.90911,1.63795,0.992338,3.45963,0.993049,3.45995,1.00983,3.72914
0.89663,1.61533,0.929795,1.67602,0.91411,1.64704,0.997338,3.4712,0.998049,3.47141,1.0166,3.88709
0.90163,1.6244,0.931462,1.68133,0.91911,1.65612,1.00234,3.54113,1.00305,3.55981,1.02353,4.02392
0.90663,1.63346,0.936462,1.68823,0.92411,1.66521,1.00734,3.67027,1.00805,3.68543,1.03107,4.11243
0.91163,1.64252,0.941462,1.69642,0.92911,1.6743,1.01331,3.81214,1.01332,3.80816,1.0391,4.21046
0.91663,1.6516,0.946462,1.70491,0.93411,1.68338,1.02008,3.96738,1.01951,3.94975,1.04752,4.31278
0.92163,1.66067,0.951462,1.71352,0.93911,1.69246,1.02747,4.06947,1.02647,4.05283,1.05626,4.4189
0.92663,1.66973,0.956462,1.7222,0.94411,1.70153,1.03537,4.16433,1.03403,4.14208,1.06514,4.53449
0.93163,1.67879,0.961462,1.73108,0.94911,1.71061,1.04369,4.26529,1.04208,4.23901,1.07425,4.65743
0.93663,1.68786,0.966462,1.73998,0.95411,1.71968,1.05235,4.36939,1.05052,4.3401,1.08353,4.78635
0.94163,1.69694,0.971462,1.74892,0.95911,1.72875,1.06128,4.48263,1.05928,4.44953,1.09296,4.92005
0.94663,1.70601,0.976462,1.7579,0.96411,1.73782,1.07033,4.60231,1.06818,4.5659,1.10218,5.05185
0.95163,1.71508,0.981462,1.76691,0.96911,1.74688,1.07957,4.72846,1.07729,4.68939,1.11155,5.15203
0.95663,1.72415,0.986462,1.77595,0.97411,1.75594,1.08896,4.86005,1.08658,4.8188,1.12106,5.20073
0.96163,1.73321,0.991462,1.7849,0.97911,1.765,1.09847,4.99532,1.09602,4.95272,1.13066,5.25547
0.96663,1.74227,0.996462,1.79396,0.98411,1.77405,1.10804,5.12974,1.10552,5.08808,1.14034,5.31387
0.97163,1.75134,1.00146,1.81363,0.98911,1.78311,1.1177,5.17771,1.11512,5.15741,1.15008,5.37549
0.97663,1.76041,1.00673,1.86188,0.99411,1.79215,1.12742,5.23164,1.1248,5.20877,1.15988,5.43993
0.98163,1.76947,1.01226,1.91527,0.99911,1.80119,1.1372,5.2894,1.13454,5.26526,1.16971,5.50585
0.98663,1.77853,1.01831,1.97562,1.00411,1.83944,1.14702,5.35046,1.14433,5.32533,1.17958,5.57179
0.99163,1.78759,1.02483,2.03188,1.00938,1.88929,1.15688,5.41447,1.15417,5.38853,1.18948,5.6371
0.99663,1.79666,1.03176,2.08045,1.01521,1.94631,1.16677,5.4803,1.16404,5.45406,1.1994,5.70144
1.00163,1.8176,1.03869,2.12909,1.02153,2.00989,1.17668,5.5464,1.17393,5.52028,1.20933,5.76231
1.00663,1.86378,1.04563,2.17742,1.02765,2.05496,1.1866,5.612,1.18385,5.58614,1.21927,5.82487
1.0119,1.91492,1.05292,2.22727,1.03422,2.1011,1.19654,5.67676,1.19378,5.65131,1.22923,5.8889
1.01773,1.97302,1.06053,2.27894,1.0408,2.14719,1.2065,5.73931,1.20372,5.71505,1.2392,5.95306
1.02405,2.02967,1.06861,2.33257,1.04756,2.19376,1.21646,5.79974,1.21368,5.77466,1.24917,6.01513
1.03081,2.07705,1.07706,2.38843,1.0547,2.24223,1.22643,5.86306,1.22365,5.83785,1.25871,6.06696
1.03756,2.12448,1.08583,2.44632,1.06218,2.29255,1.23641,5.92716,1.23362,5.90215,1.26834,6.11481
1.04432,2.17164,1.09484,2.50615,1.07015,2.345,1.24639,5.99291,1.2436,5.96767,1.27804,6.15603
1.05145,2.2203,1.10405,2.56803,1.07853,2.40001,1.25637,6.04744,1.25358,6.0243,1.28781,6.19135
1.05893,2.27091,1.11341,2.61441,1.08723,2.45721,1.26636,6.09766,1.26356,6.07577,1.29762,6.22122
1.0669,2.32373,1.12291,2.64855,1.09619,2.51671,1.27634,6.1416,1.27355,6.12213,1.30747,6.24598
1.07527,2.37878,1.1325,2.68148,1.10536,2.57821,1.28634,6.17882,1.28354,6.16131,1.31735,6.26751
1.08396,2.43603,1.14218,2.71221,1.1147,2.62033,1.29633,6.21041,1.29353,6.19502,1.32723,6.2917
1.09291,2.4952,1.15192,2.73419,1.12417,2.6539,1.30632,6.23571,1.30352,6.22163,1.33714,6.31298
1.10207,2.5565,1.16171,2.74777,1.13374,2.68593,1.31632,6.25875,1.31352,6.24527,1.34706,6.33459
1.1114,2.60872,1.17154,2.75655,1.1434,2.71564,1.32631,6.28194,1.32351,6.26849,1.357,6.35421
1.12087,2.64297,1.18141,2.76083,1.15313,2.73346,1.33631,6.30428,1.33351,6.29119,1.36695,6.36869
1.13044,2.67614,1.1913,2.7562,1.16291,2.74515,1.34631,6.32542,1.34351,6.31271,1.37691,6.37885
1.1401,2.70722,1.2012,2.7395,1.17274,2.75251,1.3563,6.34554,1.35351,6.33323,1.38688,6.38424
1.14982,2.73103,1.21066,2.70324,1.1826,2.75374,1.3663,6.36335,1.3635,6.35266,1.39685,6.38515
1.1596,2.74549,1.21974,2.67766,1.19248,2.74731,1.3763,6.37409,1.3735,6.36451,1.40683,6.3867
1.16943,2.75469,1.22847,2.63743,1.2024,2.72414,1.3863,6.37961,1.3835,6.37164,1.41681,6.3953
1.17929,2.76032,1.23686,2.55052,1.21232,2.69126,1.3963,6.38008,1.3935,6.37326,1.4268,6.40844
1.18918,2.75648,1.24558,2.6453,1.22182,2.67124,1.4063,6.38092,1.4035,6.37271,1.43678,6.4232
1.19908,2.74348,1.25413,2.70398,1.23142,2.61841,1.4163,6.389,1.4135,6.37911,1.44678,6.43788
1.20875,2.70813,1.26185,2.7503,1.24062,2.58029,1.4263,6.40128,1.4235,6.39043,1.45677,6.45764
1.21849,2.68168,1.26933,2.78887,1.24982,2.66057,1.4363,6.41387,1.4335,6.40233,1.46676,6.4851
1.22661,2.65317,1.27695,2.82286,1.25779,2.71329,1.4463,6.42764,1.4435,6.41555,1.47676,6.51594
1.23483,2.5432,1.28485,2.8582,1.2655,2.75589,1.4563,6.45107,1.4535,6.43821,1.48675,6.54942
1.24278,2.63069,1.29316,2.90201,1.27308,2.79266,1.4663,6.47891,1.4635,6.46555,1.49675,6.58652
1.25083,2.69149,1.30167,2.96327,1.28095,2.82768,1.4763,6.50999,1.4735,6.49625,1.50675,6.63991
1.25842,2.73817,1.30987,3.00825,1.28882,2.86738,1.4863,6.54354,1.4835,6.52947,1.51675,6.69389
1.26577,2.77717,1.31829,3.04921,1.29694,2.9202,1.4963,6.58008,1.4935,6.56489,1.52675,6.75019
1.27292,2.81149,1.32591,3.08738,1.30479,2.96927,1.5063,6.63365,1.5035,6.6146,1.53674,6.80869
1.28023,2.84404,1.334,3.12208,1.31264,3.01172,1.5163,6.68743,1.5135,6.66856,1.54674,6.86812
1.28768,2.87985,1.34232,3.15524,1.32024,3.05135,1.5263,6.74346,1.5235,6.72418,1.55674,6.92826
1.29492,2.92435,1.35097,3.18715,1.32761,3.08782,1.5363,6.80158,1.5335,6.78188,1.56674,6.98955
1.30248,2.98257,1.35989,3.2182,1.3355,3.12165,1.5463,6.86057,1.5435,6.84153,1.57674,7.05342
1.30982,3.02402,1.36902,3.24853,1.34363,3.15419,1.5563,6.92019,1.5535,6.90029,1.58674,7.11915
1.31716,3.06208,1.37833,3.27822,1.35213,3.18571,1.5663,6.98093,1.5635,6.96232,1.59674,7.18599
1.32504,3.09737,1.38778,3.30735,1.36093,3.21653,1.5763,7.0442,1.5735,7.02554,1.60674,7.25798
1.33316,3.13123,1.39734,3.33596,1.36997,3.2467,1.5863,7.10915,1.5835,7.08875,1.61674,7.33477
1.34165,3.16391,1.40698,3.36408,1.37921,3.27633,1.5963,7.17498,1.5935,7.15469,1.62674,7.41716
