x,healthy,x,earlyOA
1.95398,11.9683,1.9741,12.7092
1.95898,12.1912,1.9791,12.9236
1.96398,12.4109,1.9841,13.1348
1.96899,12.6256,1.9891,13.3461
1.97399,12.838,1.9941,13.5553
1.97899,13.0495,1.9991,13.7603
1.98399,13.2588,2.0041,13.975
1.98899,13.4665,2.0091,14.1867
1.99399,13.6703,2.0141,14.3923
1.99899,13.8744,2.01969,14.5827
2.00399,14.0826,2.02521,14.74
2.00899,14.2864,2.03068,14.8737
2.01426,14.4791,2.03611,14.9912
2.01979,14.6453,2.04151,15.0958
2.02529,14.7884,2.04687,15.1913
2.03075,14.9092,2.0522,15.2787
2.03616,15.0204,2.0575,15.3598
2.04156,15.1189,2.06277,15.4358
2.04693,15.2095,2.06803,15.5012
2.05226,15.2932,2.07327,15.5612
2.05756,15.3713,2.07851,15.6185
2.06284,15.4449,2.08372,15.6727
2.06812,15.509,2.08892,15.7239
2.07339,15.5679,2.09411,15.7724
2.07865,15.6235,2.09929,15.8184
2.08388,15.6758,2.10445,15.8617
2.08909,15.7252,2.1096,15.9028
2.09429,15.7718,2.11474,15.9415
2.09947,15.8157,2.11987,15.9783
2.10463,15.8571,2.12498,16.013
2.10979,15.8961,2.13009,16.0456
2.11495,15.9332,2.1352,16.0764
2.12009,15.9682,2.1403,16.1055
2.12522,16.0012,2.14541,16.1331
2.13034,16.0323,2.15051,16.1616
2.13546,16.0616,2.1556,16.1869
2.14057,16.0893,2.16068,16.2062
2.14568,16.1157,2.16576,16.2183
2.15079,16.1432,2.17083,16.2221
2.15589,16.1676,2.17589,16.2175
2.16098,16.1863,2.18095,16.2013
2.16607,16.1979,2.18601,16.1777
2.17114,16.2013,2.19107,16.1419
2.17621,16.1963,2.19612,16.0972
2.18128,16.1798,2.20116,16.0369
2.18635,16.1557,2.20621,15.9655
2.19141,16.1196,2.21125,15.8779
2.19647,16.0745,2.21628,15.7819
2.20152,16.0146,2.22132,15.6741
2.20657,15.9439,2.22634,15.5592
2.21161,15.8559,2.23137,15.4329
2.21665,15.7587,2.23639,15.2983
2.22169,15.6494,2.24141,15.1553
2.22672,15.533,2.2467,14.9957
2.23174,15.4051,2.25196,14.8272
2.23677,15.2684,2.2572,14.6451
2.24179,15.1239,2.26242,14.4524
2.2474,14.9635,2.2676,14.2467
2.25296,14.7942,2.27277,14.0332
2.25841,14.6111,2.27792,13.8074
2.26383,14.4159,2.28305,13.5745
2.26921,14.208,2.28817,13.3305
2.27455,13.9901,2.29328,13.0786
2.27987,13.761,2.29838,12.8077
2.28515,13.5241,2.30348,12.5298
2.29042,13.2761,2.30856,12.241
2.29566,13.0179,2.31363,11.9428
2.30088,12.7431,2.31898,11.6321
2.30608,12.4595,2.32429,11.3057
2.31128,12.1647,2.32986,10.9681
2.31646,11.8601,2.33566,10.6189
2.3219,11.5416,2.34169,10.2532
2.32735,11.208,2.34764,9.86788
2.33304,10.8631,2.35354,9.46492
2.33896,10.5061,2.35936,9.04434
2.3451,10.1305,2.3654,8.60686
2.35145,9.73525,2.37166,8.15704
2.35769,9.32171,2.37813,7.69659
2.36413,8.89034,2.38478,7.22436
2.37076,8.44405,2.39162,6.73698
2.37757,7.98316,2.39862,6.23607
2.38456,7.50943,2.40579,5.71774
2.3917,7.02242,2.41311,5.17922
2.39901,6.52113,2.42058,4.62665
2.40645,6.00071,2.42818,4.05873
2.4142,5.45737,2.43591,3.47556
2.42222,4.90019,2.44377,2.8759
2.43034,4.3272,2.45188,2.2585
2.43869,3.73732,2.46021,1.62401
2.44723,3.12666,2.46874,0.960852
2.45594,2.49703,2.47735,0.284729
2.4648,1.84756,2.48564,0
2.4738,1.16801,2.49365,0
2.48285,0.463041,2.50083,0
2.49155,0,2.50856,0
2.49993,0,2.51629,0
2.50789,0,2.52403,0
2.51585,0,2.53176,0
2.52381,0,2.53949,0
2.53178,0,2.54722,0
2.53974,0,2.55495,0
2.5477,0,2.56269,0
2.55566,0,2.57042,0
2.56362,0,2.57815,0
2.57158,0,2.58588,0
2.57955,0,2.59361,0
2.58751,0,2.60134,0
2.59547,0,2.60908,0
2.60354,0,2.61681,0
2.61161,0,2.62454,0
2.61969,0,2.63185,0
2.62749,0,2.63896,0
2.63529,0,2.64574,0.0122711
2.64322,0,2.65252,0.049075
2.65125,0.0185961,2.65993,0.109687
2.65952,0.0650398,2.66784,0.193805
2.66813,0.138719,2.67618,0.300894
2.67703,0.23837,2.68484,0.430056
2.68614,0.362529,2.69377,0.581552
2.69543,0.511019,2.70292,0.755481
2.70486,0.683583,2.71224,0.951855
2.71441,0.879936,2.72169,1.1706
2.72404,1.09975,2.73125,1.41155
2.73375,1.34267,2.7409,1.67447
2.74352,1.60829,2.75062,1.95903
2.75333,1.8961,2.76036,2.26485
2.76316,2.20563,2.77011,2.59121
2.77299,2.53607,2.77986,2.94098
2.78283,2.88855,2.78919,3.30691
2.79224,3.25869,2.79815,3.68628
2.80127,3.64051,2.80677,4.07493
2.80994,4.03192,2.81506,4.47713
2.8183,4.43833,2.82285,4.89234
2.82636,4.85622,2.8304,5.31723
2.83416,5.28473,2.83741,5.75189
2.84152,5.72205,2.84424,6.1933
2.84868,6.16812,2.85092,6.64078
2.85551,6.6193,2.85745,7.09164
2.86217,7.07662,2.86385,7.54554
2.86869,7.5365,2.87012,8.00164
2.87508,7.99842,2.87629,8.45916
2.88135,8.46165,2.88235,8.91735
2.8875,8.92546,2.88832,9.37502
2.89356,9.38724,2.89421,9.82505
2.89952,9.84295,2.90002,10.2767
2.9054,10.2999,2.90575,10.7282
2.9112,10.7564,2.91143,11.1786
2.91694,11.2117,2.91704,11.6272
2.92261,11.6649,2.9226,12.0723
2.92822,12.1131,2.92812,12.5086
2.93377,12.5533,2.93358,12.9429
2.93933,12.9914,2.93903,13.3749
2.94486,13.4279,2.94444,13.8068
2.95035,13.861,2.94981,14.2331
2.95579,14.2852,2.95515,14.6223
2.96124,14.656,2.96046,14.9063
2.96664,14.9179,2.96574,15.1164
2.97202,15.1141,2.971,15.2714
2.97739,15.2587,2.97624,15.3848
2.98273,15.3651,2.98147,15.4668
2.98805,15.4408,2.9867,15.5235
2.99337,15.4943,2.99192,15.5594
2.99866,15.5269,2.99715,15.5807
3.00395,15.5449,3.00235,15.5902
3.0092,15.554,3.00754,15.5919
3.01442,15.5541,3.01271,15.5814
3.01965,15.5403,3.01786,15.572
3.02488,15.528,3.02301,15.5538
3.03008,15.5112,3.02814,15.5303
3.03585,15.4913,3.03324,15.5101
3.04153,15.4688,3.03832,15.4869
3.04715,15.445,3.04338,15.4596
3.05271,15.4203,3.04844,15.4373
3.05823,15.3946,3.0535,15.418
3.0637,15.3684,3.05853,15.399
3.06913,15.3415,3.06357,15.3774
3.07452,15.3143,3.06859,15.3538
3.07987,15.2867,3.07362,15.3293
3.0852,15.2578,3.07865,15.3036
3.0905,15.2281,3.08367,15.2774
3.09577,15.2098,3.0887,15.2485
3.10104,15.1996,3.09372,15.2303
3.10629,15.1957,3.09873,15.2198
