x,N2249,N2571,N3057,x,N2249,N2571,N3057,x,N2249,N2571,N3057
0.540797,-0.0346605,-0.0609336,-0.0790462,0.578962,-0.0368884,-0.0650912,-0.0843574,0.554944,-0.0366427,-0.0620069,-0.0811991
0.545797,-0.0350097,-0.0614485,-0.0797455,0.583962,-0.0372335,-0.0656002,-0.0850479,0.559944,-0.0370031,-0.0625159,-0.0818971
0.550797,-0.0353589,-0.0619625,-0.0804437,0.588962,-0.0375788,-0.0661092,-0.0857409,0.564944,-0.0373622,-0.0630197,-0.0825913
0.555797,-0.0357081,-0.0624757,-0.0811411,0.593962,-0.0379236,-0.0666159,-0.0864348,0.569944,-0.0377233,-0.0635294,-0.083292
0.560797,-0.0360574,-0.0629881,-0.0818378,0.598962,-0.0382686,-0.0671223,-0.0871256,0.574944,-0.0380803,-0.0640252,-0.0839801
0.565797,-0.0364069,-0.0634997,-0.0825335,0.603962,-0.0386137,-0.0676282,-0.0878148,0.579944,-0.0384408,-0.0645314,-0.0846756
0.570797,-0.0367563,-0.0640107,-0.0832289,0.608962,-0.0389589,-0.0681331,-0.0884964,0.584944,-0.0388018,-0.0650379,-0.085374
0.575797,-0.0371057,-0.0645207,-0.0839227,0.613962,-0.039304,-0.0686376,-0.0891865,0.589944,-0.0391597,-0.0655352,-0.0860584
0.580797,-0.0374548,-0.0650296,-0.0846128,0.618962,-0.0396494,-0.0691423,-0.0898764,0.594944,-0.0395201,-0.0660398,-0.0867542
0.585797,-0.0378042,-0.0655381,-0.085305,0.623962,-0.0399944,-0.0696446,-0.0905607,0.599944,-0.039881,-0.0665435,-0.087439
0.590797,-0.0381537,-0.0660458,-0.0859962,0.628962,-0.0403395,-0.0701466,-0.0912469,0.604944,-0.0402421,-0.0670474,-0.0881332
0.595797,-0.0385033,-0.0665527,-0.0866866,0.633962,-0.0406844,-0.0706476,-0.0919322,0.609944,-0.0406032,-0.0675498,-0.088825
0.600797,-0.0388529,-0.0670586,-0.0873766,0.638962,-0.0410294,-0.0711477,-0.0926151,0.614944,-0.040964,-0.0680514,-0.0895125
0.605797,-0.0392025,-0.0675639,-0.0880653,0.643962,-0.0413742,-0.0716467,-0.0932966,0.619944,-0.0413247,-0.0685512,-0.0901982
0.610797,-0.039552,-0.0680682,-0.0887531,0.648962,-0.041719,-0.0721449,-0.0939772,0.624944,-0.0416865,-0.0690535,-0.0908844
0.615797,-0.0399017,-0.0685721,-0.0894401,0.653962,-0.0420636,-0.0726421,-0.0946565,0.629944,-0.042046,-0.0695479,-0.0915721
0.620797,-0.0402513,-0.0690747,-0.0901265,0.658962,-0.0424082,-0.0731385,-0.0953354,0.634944,-0.0424056,-0.0700418,-0.0922323
0.625797,-0.0406009,-0.0695768,-0.0908122,0.663962,-0.0427526,-0.0736337,-0.0960127,0.639944,-0.0427664,-0.0705391,-0.0929203
0.630797,-0.0409505,-0.0700783,-0.0914963,0.668962,-0.0430972,-0.0741288,-0.0966895,0.644944,-0.043127,-0.0710355,-0.0936057
0.635797,-0.0412994,-0.0705771,-0.0921776,0.673962,-0.0434419,-0.0746233,-0.097366,0.649944,-0.0434874,-0.071531,-0.0942968
0.640797,-0.0416492,-0.0710776,-0.0928645,0.678962,-0.0437862,-0.0751162,-0.0980388,0.654944,-0.0438484,-0.0720271,-0.0949847
0.645797,-0.0419987,-0.0715766,-0.0935468,0.683962,-0.0441308,-0.0756095,-0.0987131,0.659944,-0.0442093,-0.0725238,-0.095678
0.650797,-0.0423481,-0.0720747,-0.0942269,0.688962,-0.0444755,-0.0761025,-0.0993863,0.664944,-0.0445702,-0.0730186,-0.0963623
0.655797,-0.0426979,-0.0725728,-0.0949085,0.693962,-0.04482,-0.0765941,-0.100058,0.669944,-0.0449311,-0.0735125,-0.0970478
0.660797,-0.0430474,-0.07307,-0.0955882,0.698962,-0.0451643,-0.0770847,-0.10073,0.674944,-0.0452921,-0.0740062,-0.0977303
0.665797,-0.0433971,-0.0735665,-0.0962671,0.703962,-0.0455085,-0.0775744,-0.101403,0.679944,-0.0456529,-0.0744986,-0.0984145
0.670797,-0.0437464,-0.0740613,-0.0969434,0.708962,-0.0458528,-0.0780638,-0.102072,0.684944,-0.0460135,-0.0749898,-0.0990926
0.675797,-0.0440962,-0.0745575,-0.0976273,0.713128,-0.0461527,-0.0785072,-0.10268,0.689944,-0.0463743,-0.0754808,-0.09977
0.680797,-0.0444457,-0.0750521,-0.0983044,0.718128,-0.0464893,-0.0789682,-0.103293,0.694944,-0.046735,-0.0759707,-0.100446
0.685797,-0.044795,-0.075545,-0.0989789,0.723128,-0.0468314,-0.0794498,-0.103954,0.699944,-0.0470957,-0.0764601,-0.101123
0.690797,-0.0451441,-0.0760374,-0.0996497,0.728128,-0.0471739,-0.0799328,-0.10462,0.704944,-0.0474566,-0.0769513,-0.101811
0.695797,-0.0454938,-0.0765283,-0.100328,0.733128,-0.0475167,-0.0804155,-0.105282,0.709944,-0.0478173,-0.07744,-0.102488
0.700797,-0.0458441,-0.0770224,-0.100989,0.738128,-0.0478604,-0.0808998,-0.105955,0.714944,-0.0481758,-0.0779225,-0.103151
0.705797,-0.0461927,-0.0775111,-0.101663,0.743128,-0.0482029,-0.0813809,-0.106613,0.719944,-0.048522,-0.0783722,-0.103758
