x,N2249,N2643,N3237,x,N2249,N2643,N3237,x,N2249,N2643,N3237
0.636644,-0.180767,-0.218112,-0.258283,0.637285,-0.178581,-0.218907,-0.257309,0.653114,-0.190251,-0.221405,-0.266858
0.641723,-0.181869,-0.219517,-0.260014,0.642367,-0.179664,-0.220314,-0.259036,0.658221,-0.191395,-0.222814,-0.268606
0.646794,-0.182967,-0.220915,-0.261736,0.647438,-0.180743,-0.221712,-0.260752,0.663319,-0.192535,-0.224214,-0.270344
0.65186,-0.184062,-0.222305,-0.263448,0.652503,-0.18182,-0.223103,-0.262459,0.668408,-0.193672,-0.225605,-0.272071
0.656919,-0.185156,-0.22369,-0.265153,0.657563,-0.182894,-0.224487,-0.264157,0.673484,-0.194805,-0.226988,-0.273786
0.661971,-0.186245,-0.225066,-0.266848,0.662617,-0.183965,-0.225864,-0.265847,0.678553,-0.195935,-0.228363,-0.275491
0.667009,-0.187331,-0.226435,-0.268533,0.667661,-0.185033,-0.227233,-0.267527,0.683609,-0.197061,-0.22973,-0.277185
0.672043,-0.188414,-0.227796,-0.27021,0.672702,-0.186098,-0.228596,-0.269198,0.688654,-0.198183,-0.231089,-0.27887
0.677073,-0.189494,-0.229152,-0.271878,0.677738,-0.187161,-0.229951,-0.270861,0.693678,-0.199299,-0.232438,-0.280542
0.682101,-0.190573,-0.230501,-0.273539,0.68277,-0.188222,-0.231301,-0.272516,0.698699,-0.200413,-0.233781,-0.282206
0.687125,-0.191649,-0.231845,-0.275192,0.687798,-0.189281,-0.232645,-0.274164,0.703717,-0.201525,-0.235117,-0.283861
0.692147,-0.192724,-0.233182,-0.276839,0.692824,-0.190337,-0.233982,-0.275804,0.708734,-0.202636,-0.236448,-0.285509
0.697168,-0.193796,-0.234515,-0.278478,0.697848,-0.191392,-0.235314,-0.277438,0.713749,-0.203745,-0.237773,-0.28715
0.702186,-0.194867,-0.235841,-0.28011,0.702869,-0.192444,-0.236641,-0.279064,0.718762,-0.204852,-0.239092,-0.288783
0.707202,-0.195936,-0.237163,-0.281736,0.707888,-0.193495,-0.237961,-0.280683,0.723774,-0.205957,-0.240406,-0.29041
0.712217,-0.197002,-0.238479,-0.283354,0.712905,-0.194543,-0.239277,-0.282295,0.728785,-0.207061,-0.241715,-0.292029
0.717231,-0.198067,-0.239789,-0.284967,0.717921,-0.19559,-0.240587,-0.2839,0.733793,-0.208163,-0.243018,-0.293642
0.722243,-0.199131,-0.241095,-0.286573,0.722935,-0.196635,-0.241891,-0.2855,0.738801,-0.209263,-0.244317,-0.295249
0.727254,-0.200192,-0.242396,-0.288172,0.727948,-0.197678,-0.243191,-0.287092,0.743808,-0.210362,-0.24561,-0.296849
0.732263,-0.201251,-0.243691,-0.289766,0.732959,-0.198719,-0.244485,-0.288679,0.748814,-0.211459,-0.246899,-0.298443
0.737272,-0.202309,-0.244982,-0.291353,0.737969,-0.199758,-0.245775,-0.290259,0.75382,-0.212554,-0.248183,-0.30003
0.742279,-0.203365,-0.246268,-0.292934,0.742979,-0.200796,-0.247059,-0.291833,0.758825,-0.213648,-0.249462,-0.301612
0.747285,-0.204419,-0.247548,-0.294509,0.747987,-0.201832,-0.248339,-0.293401,0.763829,-0.214741,-0.250737,-0.303187
0.752291,-0.205471,-0.248825,-0.296078,0.752994,-0.202866,-0.249613,-0.294963,0.768832,-0.215831,-0.252007,-0.304757
0.757296,-0.206521,-0.250096,-0.297641,0.758001,-0.203898,-0.250883,-0.296518,0.773835,-0.21692,-0.253273,-0.30632
0.762301,-0.20757,-0.251363,-0.299198,0.763006,-0.204928,-0.252148,-0.298068,0.778838,-0.218008,-0.254534,-0.307878
0.767305,-0.208617,-0.252625,-0.30075,0.768011,-0.205957,-0.253408,-0.299612,0.783841,-0.219093,-0.25579,-0.30943
0.772308,-0.209663,-0.253882,-0.302296,0.773016,-0.206984,-0.254664,-0.301151,0.788843,-0.220178,-0.257043,-0.310977
0.777312,-0.210706,-0.255135,-0.303836,0.77802,-0.208009,-0.255915,-0.302683,0.793845,-0.22126,-0.258291,-0.312518
0.782315,-0.211748,-0.256383,-0.30537,0.783023,-0.209032,-0.257161,-0.30421,0.798846,-0.222341,-0.259534,-0.314053
0.787317,-0.212788,-0.257627,-0.306899,0.788026,-0.210054,-0.258403,-0.305731,0.803848,-0.223421,-0.260773,-0.315582
0.79232,-0.213827,-0.258867,-0.308422,0.793029,-0.211074,-0.25964,-0.307247,0.808849,-0.224498,-0.262008,-0.317106
0.797322,-0.214864,-0.260101,-0.30994,0.798032,-0.212092,-0.260873,-0.308758,0.81385,-0.225575,-0.263239,-0.318625
0.802324,-0.215899,-0.261332,-0.311453,0.803034,-0.213109,-0.262101,-0.310262,0.818851,-0.226649,-0.264465,-0.320138
0.807325,-0.216933,-0.262558,-0.31296,0.808036,-0.214124,-0.263325,-0.311761,0.823852,-0.227722,-0.265688,-0.321645
0.812327,-0.217964,-0.26378,-0.314461,0.813038,-0.215137,-0.264544,-0.313255,0.828853,-0.228794,-0.266906,-0.323147
0.817328,-0.218995,-0.264997,-0.315958,0.81804,-0.216148,-0.265759,-0.314744,0.833853,-0.229864,-0.26812,-0.324644
0.822329,-0.220023,-0.266211,-0.317449,0.823041,-0.217158,-0.266969,-0.316227,0.838854,-0.230932,-0.269329,-0.326136
0.82733,-0.22105,-0.26742,-0.318934,0.828042,-0.218167,-0.268176,-0.317705,0.843855,-0.231998,-0.270535,-0.327622
0.832331,-0.222075,-0.268624,-0.320415,0.833043,-0.219173,-0.269377,-0.319177,0.848855,-0.233064,-0.271737,-0.329102
0.837332,-0.223099,-0.269825,-0.32189,0.838044,-0.220178,-0.270575,-0.320644,0.853856,-0.234127,-0.272934,-0.330578
0.842333,-0.224121,-0.271021,-0.32336,0.843045,-0.221181,-0.271768,-0.322106,0.858856,-0.235189,-0.274128,-0.332048
0.847333,-0.225141,-0.272213,-0.324825,0.848046,-0.222183,-0.272957,-0.323563,0.863856,-0.236249,-0.275317,-0.333513
0.852334,-0.226159,-0.2734,-0.326284,0.853046,-0.223182,-0.274142,-0.325015,0.868857,-0.237308,-0.276503,-0.334973
0.857334,-0.227176,-0.274584,-0.327738,0.858047,-0.224181,-0.275323,-0.326461,0.873857,-0.238365,-0.277684,-0.336427
0.862335,-0.228191,-0.275764,-0.329187,0.863047,-0.225177,-0.276499,-0.327902,0.878857,-0.23942,-0.278862,-0.337877
0.867335,-0.229205,-0.276939,-0.330631,0.868047,-0.226172,-0.277672,-0.329339,0.883857,-0.240474,-0.280035,-0.339321
0.872336,-0.230217,-0.27811,-0.33207,0.873048,-0.227165,-0.27884,-0.330769,0.888857,-0.241526,-0.281205,-0.34076
0.877336,-0.231228,-0.279278,-0.333504,0.878048,-0.228157,-0.280003,-0.332195,0.893857,-0.242577,-0.28237,-0.342194
0.882336,-0.232236,-0.280441,-0.334933,0.883048,-0.229147,-0.281164,-0.333617,0.898858,-0.243626,-0.283532,-0.343623
0.887336,-0.233243,-0.2816,-0.336357,0.888048,-0.230135,-0.28232,-0.335033,0.903858,-0.244674,-0.28469,-0.345046
0.892337,-0.234249,-0.282755,-0.337775,0.893049,-0.231122,-0.283471,-0.336444,0.908858,-0.24572,-0.285844,-0.346465
0.897337,-0.235253,-0.283906,-0.33919,0.898049,-0.232107,-0.284619,-0.33785,0.913858,-0.246764,-0.286994,-0.347879
0.902337,-0.236255,-0.285053,-0.340599,0.903049,-0.23309,-0.285763,-0.339251,0.918858,-0.247807,-0.28814,-0.349287
0.907337,-0.237255,-0.286196,-0.342003,0.908049,-0.234072,-0.286902,-0.340648,0.923858,-0.248849,-0.289283,-0.350691
0.912337,-0.238254,-0.287336,-0.343402,0.913049,-0.235052,-0.288038,-0.342039,0.928858,-0.249888,-0.290421,-0.352089
0.917337,-0.239252,-0.288471,-0.344796,0.918049,-0.236031,-0.28917,-0.343426,0.933858,-0.250926,-0.291556,-0.353483
0.922337,-0.240248,-0.289602,-0.346185,0.923049,-0.237008,-0.290298,-0.344807,0.938858,-0.251963,-0.292687,-0.35487
0.927338,-0.241242,-0.29073,-0.34757,0.928049,-0.237983,-0.291421,-0.346184,0.943858,-0.252998,-0.293814,-0.356254
0.932338,-0.242234,-0.291853,-0.348949,0.933049,-0.238957,-0.292541,-0.347556,0.948858,-0.254031,-0.294938,-0.357633
0.937338,-0.243225,-0.292973,-0.350324,0.938049,-0.239929,-0.293657,-0.348924,0.953858,-0.255063,-0.296058,-0.359007
0.942338,-0.244215,-0.294089,-0.351694,0.943049,-0.240899,-0.294769,-0.350287,0.958858,-0.256093,-0.297174,-0.360376
0.947338,-0.245202,-0.295201,-0.353059,0.948049,-0.241868,-0.295878,-0.351644,0.963858,-0.257122,-0.298286,-0.36174
0.952338,-0.246188,-0.296309,-0.354419,0.953049,-0.242836,-0.296982,-0.352997,0.968858,-0.258149,-0.299395,-0.3631
0.957338,-0.247173,-0.297413,-0.355775,0.958049,-0.243801,-0.298082,-0.354346,0.973858,-0.259175,-0.3005,-0.364454
0.962338,-0.248156,-0.298514,-0.357126,0.963049,-0.244765,-0.299179,-0.355689,0.978858,-0.260199,-0.301602,-0.365804
0.967338,-0.249138,-0.299611,-0.358472,0.968049,-0.245728,-0.300272,-0.357028,0.983858,-0.261222,-0.302699,-0.367149
0.972338,-0.250117,-0.300704,-0.359813,0.973049,-0.246689,-0.301361,-0.358362,0.988858,-0.262243,-0.303794,-0.36849
0.977338,-0.251096,-0.301793,-0.36115,0.978049,-0.247649,-0.302447,-0.359693,0.993858,-0.263263,-0.304884,-0.369825
0.982338,-0.252072,-0.302879,-0.362482,0.983049,-0.248608,-0.303529,-0.361022,0.998858,-0.264281,-0.305971,-0.371156
0.987338,-0.253047,-0.303961,-0.363809,0.988049,-0.249565,-0.304611,-0.362351,1.00386,-0.267233,-0.310322,-0.375371
0.992338,-0.254021,-0.305039,-0.365133,0.993049,-0.250519,-0.305682,-0.363664,1.00983,-0.271573,-0.316975,-3.82E-01
0.997338,-0.254994,-0.306115,-0.366453,0.998049,-0.251472,-0.306752,-0.364976,1.0166,-0.276565,-0.324615,-0.388879
1.00234,-0.257207,-0.309283,-0.369595,1.00305,-0.254037,-0.31055,-0.368674,1.02353,-0.28135,-0.331919,-0.39532
1.00734,-0.260689,-0.314724,-0.375133,1.00805,-0.257761,-0.316482,-0.374205,1.03107,-0.285213,-0.337714,-0.401058
1.01331,-0.264977,-0.321399,-0.381107,1.01332,-0.261471,-0.322386,-0.379427,1.0391,-0.289246,-0.343718,-0.40726
1.02008,-0.269834,-0.328999,-0.387889,1.01951,-0.265732,-0.329185,-0.385771,1.04752,-0.293418,-0.349865,-0.413637
1.02747,-0.273902,-0.335329,-0.393848,1.02647,-0.269563,-0.335277,-0.391628,1.05626,-0.29767,-0.355904,-0.419925
1.03537,-0.277766,-0.341282,-0.399882,1.03403,-0.273214,-0.341017,-0.39742,1.06514,-0.302,-0.361922,-0.426147
1.04369,-0.281769,-0.347399,-0.406208,1.04208,-0.277036,-0.346957,-0.403546,1.07425,-0.306423,-0.367899,-0.432363
1.05235,-0.285878,-0.353631,-0.412658,1.05052,-0.280989,-0.353045,-0.409839,1.08353,-0.310908,-0.373802,-0.438536
1.06128,-0.290075,-0.359737,-0.418979,1.05928,-0.285034,-0.359033,-0.416027,1.09296,-0.315426,-0.379603,-0.444649
1.07033,-0.294318,-0.365753,-0.425183,1.06818,-0.289145,-0.364984,-0.422148,1.10218,-0.319825,-0.385258,-0.450709
1.07957,-0.298626,-0.371712,-0.431345,1.07729,-0.293335,-0.370901,-0.428242,1.11155,-0.323707,-0.38978,-0.455804
1.08896,-0.302976,-0.377589,-0.437452,1.08658,-0.297579,-0.376754,-0.434286,1.12106,-0.326747,-0.39281,-0.459749
1.09847,-0.307339,-0.383426,-0.443559,1.09602,-0.301846,-0.382535,-0.440285,1.13066,-0.329714,-0.395591,-0.463519
1.10804,-0.311697,-0.389257,-0.449778,1.10552,-0.306134,-0.388381,-0.446447,1.14034,-0.33264,-0.398147,-0.467077
1.1177,-0.314636,-0.392186,-0.453384,1.11512,-0.309342,-0.391969,-0.450561,1.15008,-0.335536,-0.400518,-0.470463
1.12742,-0.317507,-0.395134,-0.457244,1.1248,-0.312167,-0.395005,-0.454413,1.15988,-0.338407,-0.402743,-0.473731
1.1372,-0.320329,-0.397835,-0.460862,1.13454,-0.314936,-0.397777,-0.458054,1.16971,-0.341268,-0.404965,-0.477049
1.14702,-0.323112,-0.400327,-0.464271,1.14433,-0.317665,-0.40033,-0.461476,1.17958,-0.344141,-0.407238,-0.480506
1.15688,-0.325864,-0.402646,-0.467524,1.15417,-0.320363,-0.402701,-0.464727,1.18948,-0.347007,-0.409488,-0.48404
1.16677,-0.328594,-0.404912,-0.470769,1.16404,-0.323034,-0.404966,-0.467906,1.1994,-0.349852,-0.411685,-0.487617
1.17668,-0.331331,-0.407222,-0.474143,1.17393,-0.325708,-0.407274,-0.471201,1.20933,-0.352739,-0.41405,-0.491302
1.1866,-0.334064,-0.409519,-0.477606,1.18385,-0.328382,-0.409587,-0.474601,1.21927,-0.355623,-0.416458,-0.495107
1.19654,-0.336778,-0.411768,-0.481124,1.19378,-0.331043,-0.411861,-0.478069,1.22923,-0.358452,-0.418876,-0.499082
1.2065,-0.339494,-0.41404,-0.484704,1.20372,-0.333687,-0.414092,-0.481577,1.2392,-0.3612,-0.421258,-0.503193
1.21646,-0.342249,-0.416468,-0.488409,1.21368,-0.336386,-0.41653,-0.485216,1.24917,-0.363877,-0.423801,-0.507602
1.22643,-0.344963,-0.418892,-0.492276,1.22365,-0.339059,-0.418957,-0.489002,1.25871,-0.366374,-0.426143,-0.511588
1.23641,-0.347604,-0.42129,-0.496295,1.23362,-0.341667,-0.421368,-0.492951,1.26834,-0.368767,-0.42854,-0.515914
1.24639,-0.350206,-0.423867,-0.500752,1.2436,-0.344218,-0.423833,-0.497154,1.27804,-0.370992,-0.430851,-0.520237
1.25637,-0.352695,-0.426248,-0.504679,1.25358,-0.346683,-0.426283,-0.50125,1.28781,-0.373034,-0.433076,-0.524691
1.26636,-0.355087,-0.428707,-0.509015,1.26356,-0.349065,-0.428748,-0.505468,1.29762,-0.374877,-0.435175,-0.529193
1.27634,-0.357312,-0.43109,-0.513344,1.27355,-0.351305,-0.431168,-0.509846,1.30747,-0.376521,-0.437119,-0.53366
1.28634,-0.359342,-0.433379,-0.517806,1.28354,-0.353354,-0.433498,-0.514229,1.31735,-0.378041,-0.438892,-0.537697
1.29633,-0.361171,-0.435549,-0.522338,1.29353,-0.355218,-0.435725,-0.518722,1.32723,-0.379468,-0.440805,-0.542432
1.30632,-0.362798,-0.437517,-0.526768,1.30352,-0.356867,-0.437752,-0.523167,1.33714,-0.380952,-0.442703,-0.546518
1.31632,-0.364287,-0.439395,-0.531018,1.31352,-0.358377,-0.439675,-0.527407,1.34706,-0.382378,-0.444722,-0.551089
1.32631,-0.365676,-0.441287,-0.535673,1.32351,-0.359739,-0.441562,-0.532074,1.357,-0.383837,-0.446756,-0.555212
1.33631,-0.367116,-0.443204,-0.539889,1.33351,-0.361156,-0.443469,-0.536286,1.36695,-0.385139,-0.448324,-0.558922
