x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0.445797,0.810459,0.483956,0.87994,0.459943,0.836281,0.537362,1.62831,0.537257,1.63056,0.55041,1.6518
0.450797,0.81959,0.488958,0.889071,0.464943,0.845409,0.542823,1.63873,0.542815,1.64118,0.556306,1.66307
0.455797,0.828718,0.493959,0.898198,0.469944,0.854535,0.548244,1.64908,0.548323,1.65172,0.562123,1.67418
0.460797,0.837845,0.49896,0.90732,0.474944,0.863658,0.553628,1.65937,0.553788,1.66218,0.567869,1.68516
0.465797,0.846969,0.50396,0.91644,0.479944,0.87278,0.558979,1.66962,0.559211,1.67257,0.57355,1.69602
0.470797,0.856091,0.508961,0.925559,0.484944,0.881899,0.564299,1.67983,0.564598,1.6829,0.579147,1.70671
0.475797,0.865211,0.513961,0.934675,0.489944,0.891016,0.569591,1.69,0.569967,1.69322,0.584693,1.7173
0.480797,0.874329,0.518961,0.943787,0.494944,0.90013,0.574858,1.70015,0.575304,1.70349,0.59019,1.72781
0.485797,0.883445,0.523961,0.952902,0.499944,0.909243,0.580092,1.71024,0.580589,1.71367,0.595627,1.73822
0.490797,0.892559,0.528962,0.962012,0.504944,0.918353,0.585306,1.72031,0.585838,1.72378,0.601025,1.74856
0.495797,0.901671,0.533962,0.97112,0.509944,0.92746,0.590501,1.73036,0.591066,1.73387,0.606375,1.75882
0.500797,0.910781,0.538962,0.980225,0.514944,0.936566,0.595679,1.74039,0.596274,1.74394,0.61167,1.76898
0.505797,0.919889,0.543962,0.989334,0.519944,0.94567,0.600841,1.75042,0.60145,1.75395,0.61693,1.77909
0.510797,0.928996,0.548962,0.998435,0.524944,0.954772,0.605989,1.76043,0.606604,1.76393,0.622166,1.78918
0.515797,0.9381,0.553962,1.00753,0.529944,0.963871,0.611125,1.77043,0.611745,1.77391,0.627382,1.79924
0.520797,0.947202,0.558962,1.01663,0.534944,0.972969,0.616249,1.78043,0.616874,1.78387,0.632571,1.80928
0.525797,0.956303,0.563962,1.02573,0.539944,0.982065,0.621361,1.79042,0.621991,1.79384,0.637726,1.81926
0.530797,0.965401,0.568962,1.03482,0.544944,0.991163,0.626464,1.8004,0.627098,1.80379,0.642867,1.82924
0.535797,0.974497,0.573962,1.04391,0.549944,1.00026,0.631558,1.81038,0.632196,1.81375,0.647996,1.83922
0.540797,0.983592,0.578962,1.053,0.554944,1.00935,0.636644,1.82036,0.637285,1.8237,0.653114,1.8492
0.545797,0.992685,0.583962,1.06209,0.559944,1.01844,0.641723,1.83034,0.642367,1.83365,0.658221,1.85918
0.550797,1.00178,0.588962,1.07117,0.564944,1.02752,0.646794,1.84031,0.647438,1.8436,0.663319,1.86916
0.555797,1.01086,0.593962,1.08025,0.569944,1.03661,0.65186,1.85028,0.652503,1.85354,0.668408,1.87915
0.560797,1.01995,0.598962,1.08933,0.574944,1.04569,0.656919,1.86026,0.657563,1.86348,0.673484,1.88912
0.565797,1.02904,0.603962,1.09841,0.579944,1.05478,0.661971,1.87022,0.662617,1.87343,0.678553,1.8991
